surface_form,search_arg,kind,pos_filter,ambiguity_flag,idiom_family,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,n_decades_pass,min_count,max_count,total_count,notes
Asylum keeper,asylum keeper,phrase,,low,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,
Matron,matron,stem,,med,,73,179,134,136,157,202,224,172,185,165,243,237,101,167,151,354,103,75,98,95,20,73,354,3251,
Keeper,keeper,stem,,high,,86,185,365,246,173,204,221,347,223,272,348,212,253,232,203,170,149,241,198,325,20,86,365,4653,Very generic; retained mainly for phrase 'asylum keeper' coverage.
Discharged,discharged,stem,,med,,143,313,304,264,269,264,336,326,328,261,244,283,261,244,148,191,139,123,106,135,20,106,336,4682,"Also 'discharged gun', 'discharged debt'."
Absconded,absconded,stem,,low,,8,13,19,8,4,3,10,3,4,6,6,3,3,3,3,9,5,8,10,16,0,3,19,144,
Treatment,treatment,stem,,high,,216,292,451,597,509,791,1026,891,942,1140,964,1002,1530,1539,1338,1548,1794,2337,2599,3225,20,216,3225,24731,Very generic; retained for its position in the clinical vocabulary.
Inebriate,inebriat,stem,,low,,14,13,26,73,35,43,22,21,17,9,16,23,16,18,17,21,23,16,31,39,1,9,73,493,"Catches inebriate, inebriated, inebriety, inebriates."
Criminal,criminal,stem,,high,,382,528,621,613,486,619,848,834,956,906,1168,1341,881,1095,1255,1590,1608,1453,1715,2096,20,382,2096,20995,Very generic; retained for 'criminal insanity' co-occurrence.
Trauma,trauma,stem,,med,,0,0,0,0,0,0,1,5,2,4,1,15,53,49,105,192,262,440,616,1108,7,0,1108,2853,Physical trauma vs psychological trauma -- cluster split expected.
Therapy,therapy,stem,,high,,1,0,0,0,0,0,0,1,1,5,12,36,169,198,249,379,553,1022,1120,967,8,0,1120,4713,Modern-dominated word; sparse in early decades.
Religious fanaticism,religious fanaticism,phrase,,low,,1,3,4,4,1,3,1,5,5,2,4,5,3,5,4,6,1,4,2,3,0,1,6,66,
Fanaticism,fanatic,stem,,low,,87,175,320,307,263,161,154,165,188,185,306,246,276,287,238,228,283,192,243,185,20,87,320,4489,"Catches fanatic, fanatical, fanatically, fanaticism."
Medium,medium,stem,,high,,194,613,503,564,440,414,434,303,667,539,2212,828,634,809,710,650,735,1245,1656,1871,20,194,2212,16021,Very generic; spiritualist sense is one sub-cluster.
Mesmerism,mesmer,stem,,low,,0,1,54,65,24,35,56,25,29,28,14,26,53,21,54,68,100,157,185,123,10,0,185,1118,"Catches mesmerism, mesmerist, mesmerize, mesmerizing."
Seance,seance,stem,,low,,0,1,4,1,2,5,51,6,25,13,106,11,58,14,23,11,15,17,3,7,3,0,106,373,
Séance (accented),séance,stem,,low,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verify casefold behavior of accented characters in COHA.
Revival,revival,stem,,high,,40,112,202,247,217,283,217,221,234,360,359,430,370,270,268,243,361,285,273,257,19,40,430,5249,Religious/economic senses dominate.
Spiritualism,spiritualism,stem,,low,,1,0,5,18,42,51,51,17,43,20,36,8,13,8,9,9,12,10,3,14,2,0,51,370,
