pair_index,trial,target_n,fgw_cost,feature_cost,structure_cost
0,0,59,0.06453719664196474,0.12632581952769886,0.0007011138069181059
0,1,59,0.04888781967360187,0.0954650218330198,0.00018571474064988736
0,2,59,0.06734577087163715,0.12959181619650234,0.00033754383050922426
0,3,59,0.07643133782533378,0.14710880338640547,0.0005214185060338088
0,4,59,0.051627769833039544,0.09780362576751392,0.0005527729222327076
0,5,59,0.04829003020225234,0.09525219477334271,0.00011285299322891744
0,6,59,0.05663159603322396,0.10817797310902919,0.0005191901921326344
0,7,59,0.05725871630474244,0.11169283405198897,0.0007680694510229687
0,8,59,0.05166959916053587,0.10080834872136687,0.0004223856770148837
0,9,59,0.04905599082082306,0.09535454789460722,0.0005131322729022152
0,10,59,0.04990746479313529,0.09599285257064698,0.0004285013335270202
0,11,59,0.07091732590306228,0.1378013261799086,0.0007955952671773209
0,12,59,0.061911812538467115,0.11998497909408515,0.0006319740633619602
0,13,59,0.04999994037589255,0.09885619477195261,0.0003448496344680685
0,14,59,0.049599249525407035,0.09659139767794292,0.0007749262976339306
0,15,59,0.07111411127341014,0.13831584832425853,0.0002836869567930544
0,16,59,0.0710807894606738,0.13591729786436446,0.0006086533756997567
0,17,59,0.04779439682068398,0.09368677838879122,0.0002870297476876062
0,18,59,0.045627999362529176,0.08898277295342952,0.0006978611977552019
0,19,59,0.06344085411648119,0.12294245261256986,0.0007862419855241918
0,20,59,0.06193764523967218,0.12189302345958815,0.00025057467170224454
0,21,59,0.06536196937911469,0.1263456562818108,0.0006551309603987363
0,22,59,0.0680499704216593,0.13202291711912326,0.0005218872436547758
0,23,59,0.058430328742359976,0.1141309685121149,0.0007632742804727313
0,24,59,0.04499487593909365,0.08884608975406427,0.0001981763183730341
0,25,59,0.07697105473583582,0.14946941692950372,0.0009622686149210944
0,26,59,0.06328298169065874,0.12340433910741652,0.0004046289947151869
0,27,59,0.05743384726758468,0.1113680970113157,0.00028999935534249505
0,28,59,0.049502527848292496,0.09736099371970716,0.0002352716555275499
0,29,59,0.04737709267624294,0.09295319933759971,0.0006220940613816494
0,30,59,0.05723223964276162,0.11229344663226005,0.00024161520370434903
0,31,59,0.059546272459377714,0.11579088194895606,0.0005243531988477646
0,32,59,0.07381101731682796,0.1386698903547506,0.002026321458701807
0,33,59,0.06108261816854167,0.11872255041942767,0.0006281853498549759
0,34,59,0.06900199120683238,0.1340367452572969,0.0012061952230166225
0,35,59,0.06660328326385644,0.12732031211509554,0.0008293318095202257
0,36,59,0.04979363863355106,0.09746836039979585,0.000736414132653555
0,37,59,0.050451627530622024,0.09992112927770216,0.00016962087112027126
0,38,59,0.046980015396691055,0.09217423905886843,0.0005526046689134915
0,39,59,0.054010329361485726,0.10376392861796645,0.0005938986438089716
0,40,59,0.0637644753112666,0.12220180586485549,0.0023056612411147172
0,41,59,0.07083186288628598,0.1360640613456905,0.0005433837498991102
0,42,59,0.05101576765246019,0.09927700144254561,0.0005957754918131415
0,43,59,0.05503909013140322,0.10763492480678082,0.0005262115952562959
0,44,59,0.05425708089205954,0.10532712901042687,0.0003607292064731811
0,45,59,0.06668708175901722,0.1302974885045473,0.0006544517148721935
0,46,59,0.06303674022645876,0.12049233162049529,0.0009924144711837915
0,47,59,0.06949012693909447,0.13519691991603988,0.000623607696679763
0,48,59,0.05212870928775733,0.10256418739840144,0.0003003723313800064
0,49,59,0.06475089831491368,0.1257968602796733,0.00046097783851787607
0,50,59,0.06111753307056428,0.1198514374130864,0.0005646801192589912
0,51,59,0.05288654349556844,0.10315852843351292,0.000235611430340237
0,52,59,0.06297874668027197,0.12151073187084528,0.000641298796773701
0,53,59,0.06206903164662336,0.12005712560425377,0.0008515362437437164
0,54,59,0.06393230677808873,0.1226242296523968,0.0003346087908835183
0,55,59,0.05618900688748747,0.10935602416679019,0.0003537832267991739
0,56,59,0.058152355477637224,0.11356808136580361,0.000468934598083744
0,57,59,0.06357849422922199,0.12184680307568138,0.0009828323527769059
0,58,59,0.048267159569089224,0.09366317708360954,0.0004132769774423216
0,59,59,0.05326971179136335,0.10408065463021657,0.0005353240022544217
0,60,59,0.06301335865766329,0.12412573879553108,0.0004076738708211379
0,61,59,0.07472257875560885,0.14317755282430336,0.0009923375366324867
0,62,59,0.045262752756663735,0.08960647196587875,9.093189682501634e-05
0,63,59,0.04548378301036079,0.08938089187367494,0.00025953927920534367
0,64,59,0.05900228571789864,0.11492419891943373,0.0003784667542546997
0,65,59,0.05813420094113089,0.11469726501885115,0.00023468853456961924
0,66,59,0.0509480694592806,0.09927021540322553,0.0005478731111054299
0,67,59,0.060342138845154825,0.11536445397946804,0.0004008008343838976
0,68,59,0.058906523149359805,0.11525258930810434,0.0006629338429884271
0,69,59,0.06495462305411777,0.12495471894488504,0.00037027589315633864
0,70,59,0.04959012226972703,0.09729929094092327,0.0005632100357348804
0,71,59,0.058868740638706216,0.11449102670964556,0.0009034514820131704
0,72,59,0.05659333610824113,0.11094321761343447,0.0002732204841394438
0,73,59,0.05872601496276203,0.11582853043988608,0.0005743096565414362
0,74,59,0.04796536742125871,0.0944197768503327,0.00033125297402589616
0,75,59,0.06577070685727765,0.1273622350925107,0.001049930487514938
0,76,59,0.05553764380589037,0.10806335497458111,0.00044376598386345484
0,77,59,0.04925004137190617,0.09753819656069003,0.00020338445796233177
